# epoch	train_loss	ce_loss	mi_loss	al_loss	val_X_MRR	val_Y_MRR	val_Y_HR@10
1	10.069604	17.295692	1.616003	0.463513	0.018238	0.019064	0.047016
2	8.656019	15.177674	1.068566	0.470962	0.035735	0.036305	0.050633
3	7.666557	13.244038	1.018318	0.464156	0.035104	0.036949	0.045208
4	6.905529	11.695729	1.027512	0.455364	0.033579	0.033511	0.047016
5	6.397902	10.701774	1.009309	0.447517	0.033019	0.033337	0.047016
6	6.082425	10.060309	1.017667	0.440507	0.032201	0.033374	0.043400
7	5.844375	9.577177	1.022277	0.435965	0.026044	0.029647	0.039783
8	5.697666	9.252620	1.044861	0.432479	0.026396	0.026686	0.043400
9	5.536531	8.975745	1.012823	0.429440	0.029442	0.029468	0.043400
10	5.435165	8.745429	1.035094	0.425339	0.025419	0.031847	0.039783
11	5.259209	8.440052	1.000893	0.422959	0.029407	0.029019	0.039783
12	5.140488	8.229017	0.982054	0.420833	0.028787	0.023000	0.041591
13	5.068444	8.077704	0.988870	0.418160	0.027276	0.023993	0.043400
14	4.940781	7.867348	0.958170	0.415062	0.028430	0.028800	0.048825
15	4.907161	7.791696	0.966560	0.412638	0.024595	0.029214	0.045208
16	4.840742	7.690654	0.945565	0.410427	0.023387	0.026027	0.047016
17	4.702698	7.439867	0.925241	0.409494	0.024032	0.025790	0.043400
18	4.626325	7.324109	0.900336	0.407276	0.020735	0.024273	0.045208
19	4.641741	7.315348	0.932302	0.404609	0.023677	0.030375	0.045208
20	4.547961	7.217507	0.869219	0.402929	0.025037	0.028163	0.036166
21	4.467591	7.075587	0.857191	0.400520	0.019871	0.027476	0.041591
22	4.460406	7.066826	0.855471	0.398832	0.023877	0.026680	0.047016
23	4.372558	6.926075	0.831386	0.396811	0.023960	0.026724	0.047016
24	4.329857	6.840194	0.832848	0.395169	0.027933	0.025824	0.045208
25	4.283036	6.760714	0.824331	0.393255	0.022107	0.027017	0.045208
