# epoch	train_loss	ce_loss	mi_loss	al_loss	val_X_MRR	val_Y_MRR	val_Y_HR@10
1	10.322531	16.874020	2.327408	0.425076	0.000000	0.000355	0.000563
2	8.588456	14.732666	1.348721	0.425345	0.000000	0.000397	0.000563
3	8.056557	14.054861	1.060831	0.427094	0.000000	0.002381	0.003380
4	7.505297	13.046255	0.991749	0.418407	0.000000	0.004814	0.006761
5	6.930182	11.929646	0.968075	0.407003	0.000000	0.006137	0.008451
6	6.371576	11.002799	0.830665	0.398739	0.000000	0.006944	0.009014
7	6.080737	10.473350	0.794880	0.392380	0.000000	0.008064	0.009014
8	5.854780	10.042122	0.781688	0.386958	0.000000	0.008044	0.009014
9	5.714807	9.771102	0.777168	0.382949	0.000000	0.007497	0.009014
10	5.613797	9.581162	0.770814	0.379458	0.000000	0.007228	0.009014
11	5.498905	9.397844	0.738156	0.377253	0.000000	0.007465	0.009014
12	5.398699	9.238496	0.708927	0.375587	0.000000	0.007182	0.009014
13	5.335960	9.114473	0.708700	0.373779	0.000000	0.006903	0.009014
14	5.291974	9.011578	0.720106	0.372226	0.000000	0.006533	0.009014
15	5.235695	8.901480	0.718561	0.370977	0.000000	0.006641	0.009014
16	5.245342	8.962857	0.690628	0.370103	0.000000	0.007149	0.009014
17	5.175455	8.874235	0.653742	0.369460	0.000000	0.006866	0.009014
18	5.130175	8.781359	0.654847	0.368916	0.000000	0.006878	0.009014
19	5.090204	8.691283	0.661659	0.368315	0.000000	0.006887	0.009014
20	5.051186	8.621590	0.655508	0.367752	0.000000	0.007149	0.009014
21	5.058774	8.648786	0.648002	0.367267	0.000000	0.006853	0.009014
22	5.028966	8.612920	0.630937	0.366980	0.000000	0.006298	0.009014
23	5.010372	8.578780	0.628693	0.366685	0.000000	0.006581	0.009014
24	4.992041	8.549830	0.623177	0.366400	0.000000	0.006572	0.009014
25	4.969721	8.509656	0.619852	0.366094	0.000000	0.005915	0.009014
