idBefore,item_title,idAfter
533294,Monopoly Junior Party (EA),71067
306909,"MerryMakers Nightsong Plush Doll, 11-Inch",71068
387619,Hasbro Monopoly,71069
354258,Lego 6321 Curved Road Plates,71070
526259,Pokemon American Trading Card Game Base 2 Booster Pack,71071
69310,Lamaze Baby Toys Stacking Rings,71072
507900,The Wonderful World of Disney Trivia 2: The Sequel Game,71073
262230,Hasbro Yahtzee Deluxe Edition,71074
91578,McFarlane Toys Movie Maniacs Series 3 Action Figure Army of Darkness Ash,71075
215894,Four Real - Bid on It!,71076
353780,Rummikub -- The Original Rummy Tile Game,71077
208599,Tekno the Robotic Puppy,71078
473591,Guess Who? Board Game(Discontinued by manufacturer),71079
167369,Clue 2005 Parker Brothers Classic Detective Game,71080
294803,Brio Mighty Red Locomotive,71081
523023,Barbie Groom and Care Center,71082
22154,Milton Bradley Bop It Extreme,71083
538471,Jurassic Park 3 Island Survival Game,71084
399382,Buffy the Vampire Slayer Series 1 - BUFFY - Sarah Michelle Gellar - 6&quot; Action Figure (2000 Clayburn Moore),71085
574827,Wise and Otherwise,71086
438094,Rollercoaster Tycoon Board Game,71087
540511,"Wheel of Fortune, 1999 Edition",71088
595245,100 Ct. Poker Chips Set 11.5 gram (styles will vary),71089
159150,Lord of the Rings,71090
61284,Boggle,71091
501230,Gigamic Pylos Board Game,71092
614067,Little Tikes Tap A Tune Xylophone,71093
407676,Little Tikes Cozy Coupe,71094
457319,Thomas and Friends Wooden Railway - Henry the Green Engine,71095
329408,Thomas And Friends Wooden Railway - Edward The Blue Engine,71096
261603,Thomas and Friends Wooden Railway - Gordon the Big Express Engine,71097
445738,Thomas &amp; Friends Wooden Railway - Bertie The Bus,71098
298753,Thomas &amp; Friends Wooden Railway - Sodor Engine Wash,71099
309380,Thomas &amp; Friends - Conductors Shed,71100
20968,Electronic Interactive Whac-A-Mole Game,71101
221477,The Wizard Of Oz Monopoly Game,71102
595500,"Simpsons - Interactive Environment (Playset) - Alien Spaceship - Treehouse of Horror 2 (THOH2) - TRU exclusive w/3 exclusive figures (Alien Ship Homer, Kang and Kodos)",71103
167705,Fisher-Price Brilliant Basics Melody Push Chime,71104
279296,Wacky Stick,71105
1725,Jumbo Knob Puzzle Transportation,71106
466747,Hi Ho! Cherry-O Board Game for 2 to 4 Players Kids Ages 3 and Up (Amazon Exclusive),71107
393919,LeapFrog Original LeapPad Learning System from 2004,71108
476314,Leapfrog Pre-K &amp; Kindergarten LeapPad Book:Tad Goes Shopping,71109
226686,LeapPad: Leap 1 Vocabulary - &quot;Richard Scary's Best Little Word Book Ever&quot; Interactive Book and Cartridge,71110
225405,Chiming Bell Wagon,71111
575478,Brio: Autostop &amp; Start Engine &amp; Track Set (33224),71112
538419,Jenga Classic Game,71113
421130,Pooh Baby's First Tigger,71114
225468,Tri-Ominos,71115
501334,"Learning Resources Gears! Gears! Gears! Gizmos Building Set, 83 Pieces",71116
502181,Little Tikes EasyScore Basketball Set,71117
482666,None Little Tikes Buzz About Mailbox,71118
557922,Fisher-Price Musical Tea Set,71119
256737,Fisher-Price Chicken Dance Elmo,71120
476189,I SPY Memory Game,71121
256762,Hasbro Elefun,71122
412229,Wheels on the Bus Board Game,71123
531029,John N. Hansen Finders Keepers,71124
459258,Dragon Tales Game,71125
541780,Count and Sort Bears,71126
94711,LeapFrog Read and Sing Little Leap,71127
324109,Melissa &amp; Doug 52 Wooden Alphabet Magnets in a Box - Uppercase and Lowercase Letters,71128
111740,Care Bear Plush 13 Good Luck Bear,71129
51054,My First Magic Set,71130
188459,Musini Quintet,71131
345902,First Grade LeapPad Book: Pooh Gets Stuck,71132
360124,Fisher-Price - 2003 Little People Stack 'N Crash Worksite with Real Dyno-Mit,71133
596163,Fisher Price Little Mommy Carrier for 16&quot; Baby Dolls,71134
539117,Bounce &amp; Giggle Kitty,71135
125321,FISHER PRICE SINGING STAR GYM by Mattel,71136
444472,My Little Baby: Totally Interactive Baby Jordan,71137
317306,Learning Resources Math Mat Challenge Game,71138
148646,Lullaby Dream Show,71139
323453,Polly Pocket Prancin' Pony,71140
